"id","age","age_group","volunteer","weekly_social_contact","worthwhile_response","worthwhile","contribution_response","contributes","social_contacts_important_response","social_contacts_important","personal_development_important_response","personal_development_important","autonomy_response","autonomy","useful_response","useful","hopeful_response","hopeful"
22,55,"55 - 65",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
23,26,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
24,79,"above 75",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
25,82,"above 75",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE
26,55,"55 - 65",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Disagree",FALSE
27,46,"45 - 55",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Agree",TRUE,"Undecided",FALSE
28,19,"18 - 25",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Disagree",FALSE,"Agree",TRUE,"Agree",TRUE,"Disagree",FALSE
29,89,"above 75",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE
30,31,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
31,77,"above 75",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
32,73,"65 - 75",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE
33,50,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
34,31,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE
35,70,"65 - 75",TRUE,TRUE,"Disagree",FALSE,"Disagree",FALSE,"Agree",TRUE,"Undecided",FALSE,"Strongly Disagree",FALSE,"Strongly Disagree",FALSE,"Disagree",FALSE
36,57,"55 - 65",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
37,48,"45 - 55",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Disagree",FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE
38,64,"55 - 65",FALSE,TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
39,55,"55 - 65",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
40,37,"35 - 45",FALSE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
41,41,"35 - 45",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE
42,89,"above 75",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
43,65,"65 - 75",FALSE,TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Disagree",FALSE
44,64,"55 - 65",TRUE,FALSE,"Undecided",FALSE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE
45,49,"45 - 55",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
46,72,"65 - 75",FALSE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
47,35,"35 - 45",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
48,68,"65 - 75",TRUE,TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
49,23,"18 - 25",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
50,84,"above 75",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
51,31,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
52,35,"35 - 45",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE
53,33,"25 - 35",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
54,77,"above 75",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Disagree",FALSE,"Undecided",FALSE
55,85,"above 75",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
56,32,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
57,47,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE
58,31,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Disagree",FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
59,26,"25 - 35",TRUE,TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Agree",TRUE
60,29,"25 - 35",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
61,30,"25 - 35",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE
62,60,"55 - 65",FALSE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
63,34,"25 - 35",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE
64,37,"35 - 45",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
65,43,"35 - 45",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
66,38,"35 - 45",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE
67,40,"35 - 45",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE
68,53,"45 - 55",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
69,23,"18 - 25",TRUE,FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE
70,47,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE
71,51,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE
72,57,"55 - 65",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE
73,73,"65 - 75",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE
74,69,"65 - 75",FALSE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
75,39,"35 - 45",TRUE,TRUE,"Agree",TRUE,"Disagree",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
76,62,"55 - 65",FALSE,TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
77,56,"55 - 65",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE
78,56,"55 - 65",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE
79,24,"18 - 25",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
80,46,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
81,59,"55 - 65",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE
82,42,"35 - 45",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
83,81,"above 75",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
84,23,"18 - 25",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
85,77,"above 75",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
86,40,"35 - 45",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
87,72,"65 - 75",FALSE,TRUE,"Agree",TRUE,"Disagree",FALSE,"Undecided",FALSE,"Disagree",FALSE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE
88,45,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
89,68,"65 - 75",FALSE,FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
90,19,"18 - 25",TRUE,TRUE,"Undecided",FALSE,"Disagree",FALSE,"Disagree",FALSE,"Disagree",FALSE,"Undecided",FALSE,"Undecided",FALSE,"Agree",TRUE
91,18,"18 - 25",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Disagree",FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE
92,79,"above 75",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
93,55,"55 - 65",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
94,73,"65 - 75",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
95,43,"35 - 45",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
96,37,"35 - 45",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Disagree",FALSE
97,45,"45 - 55",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
98,65,"65 - 75",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE
99,19,"18 - 25",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Undecided",FALSE
100,20,"18 - 25",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
101,21,"18 - 25",FALSE,TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Undecided",FALSE
102,30,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
103,86,"above 75",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE
104,30,"25 - 35",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
105,51,"45 - 55",FALSE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
106,83,"above 75",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
107,62,"55 - 65",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Undecided",FALSE
108,71,"65 - 75",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE
109,26,"25 - 35",FALSE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE
110,49,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
111,44,"35 - 45",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Disagree",FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
112,49,"45 - 55",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE,"Undecided",FALSE,"Strongly Agree",TRUE
113,87,"above 75",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
114,19,"18 - 25",TRUE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
115,34,"25 - 35",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
116,53,"45 - 55",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
117,45,"45 - 55",TRUE,TRUE,"Undecided",FALSE,"Disagree",FALSE,"Agree",TRUE,"Undecided",FALSE,"Disagree",FALSE,"Disagree",FALSE,"Disagree",FALSE
118,34,"25 - 35",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
119,71,"65 - 75",FALSE,TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE
120,46,"45 - 55",FALSE,TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
121,72,"65 - 75",TRUE,FALSE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE
122,70,"65 - 75",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
123,40,"35 - 45",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
124,77,"above 75",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Disagree",FALSE,"Agree",TRUE
125,63,"55 - 65",FALSE,TRUE,"Undecided",FALSE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Disagree",FALSE,"Undecided",FALSE,"Strongly Disagree",FALSE
126,58,"55 - 65",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Undecided",FALSE
127,44,"35 - 45",FALSE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE
128,37,"35 - 45",FALSE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
129,74,"65 - 75",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE
130,67,"65 - 75",FALSE,TRUE,"Disagree",FALSE,"Disagree",FALSE,"Undecided",FALSE,"Agree",TRUE,"Undecided",FALSE,"Disagree",FALSE,"Disagree",FALSE
131,69,"65 - 75",FALSE,TRUE,"Undecided",FALSE,"Disagree",FALSE,"Undecided",FALSE,"Strongly Disagree",FALSE,"Agree",TRUE,"Undecided",FALSE,"Undecided",FALSE
132,54,"45 - 55",TRUE,TRUE,"Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Agree",TRUE
133,32,"25 - 35",TRUE,TRUE,"Undecided",FALSE,"Agree",TRUE,"Undecided",FALSE,"Disagree",FALSE,"Strongly Agree",TRUE,"Strongly Agree",TRUE,"Strongly Agree",TRUE
134,80,"above 75",TRUE,TRUE,"Agree",TRUE,"Undecided",FALSE,"Strongly Agree",TRUE,"Agree",TRUE,"Undecided",FALSE,"Agree",TRUE,"Agree",TRUE
135,61,"55 - 65",TRUE,TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE,"Agree",TRUE,"Strongly Agree",TRUE
